bn:00000001n	08641944n
bn:00047859n	11343208n
bn:00047860n	11078203n
bn:00047861n	03591798n
bn:00047862n	03591592n
bn:00047863n	14266521n
bn:00047864n	11188123n
bn:00047865n	11308877n
bn:00047866n	11133778n
bn:00047867n	11137175n
bn:00047868n	11185816n
bn:00047869n	11158156n
bn:00047870n	11212534n
bn:00047871n	11332572n
bn:00047872n	04625515n
bn:00047873n	06757479n
bn:00047874n	02352290n
bn:00047875n	14924602n
bn:00047876n	04968749n
bn:00047877n	14678762n
bn:00047878n	02044178n
bn:00047879n	11078404n
bn:00047880n	08798195n
bn:00047881n	07749095n
bn:00047882n	13031474n
bn:00047883n	09320826n
bn:00047884n	03592055n
bn:00047885n	00749491n
bn:00047886n	09530515n
bn:00047887n	15062955n
bn:00047888n	04772691n
bn:00047889n	11078650n
bn:00047890n	09538318n
bn:00047891n	00480366n
bn:00047892n	00095873n
bn:00047893n	08098192n
bn:00047894n	06239655n
bn:00047895n	09685085n
bn:00047896n	11078774n
bn:00047897n	08704116n
bn:00047898n	07721678n
bn:00047899n	03692842n
bn:00047900n	03592669n
bn:00047901n	07642933n
bn:00047902n	00102374n
bn:00047903n	08753933n
bn:00047904n	08753729n
bn:00047905n	12384375n
bn:00047906n	12718685n
bn:00047907n	07905386n
bn:00047908n	09718092n
bn:00047909n	13673554n
bn:00047910n	05684839n
bn:00047911n	03592773n
bn:00047912n	07869611n
bn:00047913n	12911673n
bn:00047914n	12911440n
bn:00047915n	11080351n
bn:00047916n	11080174n
bn:00047917n	11079802n
bn:00047918n	11079544n
bn:00047919n	11079392n
bn:00047920n	11078982n
bn:00047921n	09321180n
bn:00047922n	09320985n
bn:00047923n	11383425n
bn:00047924n	11178631n
bn:00047925n	11358374n
bn:00047926n	11093116n
bn:00047927n	11197099n
bn:00047928n	09321338n
bn:00047929n	11271094n
bn:00047930n	11219293n
bn:00047931n	11376201n
bn:00047932n	11192533n
bn:00047933n	11290107n
bn:00047934n	11170604n
bn:00047935n	11341479n
bn:00047936n	11341760n
bn:00047937n	11265914n
bn:00047938n	11176005n
bn:00047939n	11240733n
bn:00047940n	11148486n
bn:00047941n	11318171n
bn:00047942n	11163041n
bn:00047943n	11179502n
bn:00047944n	11186042n
bn:00047945n	11199234n
bn:00047946n	11223294n
bn:00047947n	11092740n
bn:00047948n	11344235n
bn:00047949n	11357879n
bn:00047950n	11376742n
bn:00047951n	11262468n
bn:00047952n	11391587n
bn:00047953n	11399620n
bn:00047954n	09150448n
bn:00047955n	11080601n
bn:00047956n	03593122n
bn:00047957n	03592931n
bn:00047958n	03877472n
bn:00047959n	03593034n
bn:00047960n	15210045n
bn:00047961n	11306619n
bn:00047962n	11248777n
bn:00047963n	11215541n
bn:00047964n	11314219n
bn:00047965n	11326154n
bn:00047966n	11342905n
bn:00047967n	11363269n
bn:00047968n	10219240n
bn:00047969n	11294680n
bn:00047970n	07385998n
bn:00047971n	11091545n
bn:00047972n	10219453n
bn:00047973n	10219380n
bn:00047974n	10219577n
bn:00047975n	06188989n
bn:00047976n	10219680n
bn:00047977n	15192890n
bn:00047978n	15182189n
bn:00047979n	15182569n
bn:00047980n	15185721n
bn:00047981n	09563619n
bn:00047982n	09718652n
bn:00047983n	12543455n
bn:00047984n	08920381n
bn:00047985n	08921850n
bn:00047986n	03593362n
bn:00047987n	03593222n
bn:00047988n	11489686n
bn:00047989n	14924786n
bn:00047990n	09321527n
bn:00047991n	09718217n
bn:00047992n	06929279n
bn:00047993n	12640839n
bn:00047994n	12352844n
bn:00047995n	12262185n
bn:00047996n	02173373n
bn:00047997n	12146488n
bn:00047998n	12649317n
bn:00047999n	07788340n
bn:00048000n	09534428n
bn:00048001n	12649539n
bn:00048002n	12675876n
bn:00048003n	12146654n
bn:00048004n	12311413n
bn:00048005n	12204032n
bn:00048006n	13709591n
bn:00048007n	12275317n
bn:00048008n	12265600n
bn:00048009n	01961234n
bn:00048010n	12648693n
bn:00048011n	07763792n
bn:00048012n	12308447n
bn:00048013n	11618079n
bn:00048014n	12777778n
bn:00048015n	02085782n
bn:00048016n	12747371n
bn:00048017n	00814274n
bn:00048018n	12311224n
bn:00048019n	11660300n
bn:00048020n	12580654n
bn:00048021n	11662371n
bn:00048022n	10219778n
bn:00048023n	03593526n
bn:00048024n	13767822n
bn:00048025n	07339098n
bn:00048026n	14924915n
bn:00048027n	07071017n
bn:00048028n	11080884n
bn:00048029n	03593862n
bn:00048030n	12306717n
bn:00048031n	12306938n
bn:00048032n	12307076n
bn:00048033n	09592384n
bn:00048034n	14925033n
bn:00048035n	11087931n
bn:00048036n	11080987n
bn:00048037n	02259136n
bn:00048038n	10219879n
bn:00048039n	08306371n
bn:00048040n	12925583n
bn:00048041n	03594010n
bn:00048042n	08908248n
bn:00048043n	06901053n
bn:00048044n	01543632n
bn:00048045n	02473720n
bn:00048046n	12195734n
bn:00048047n	10220080n
bn:00048048n	06939431n
bn:00048049n	07470420n
bn:00048050n	03594148n
bn:00048051n	05546040n
bn:00048052n	05603160n
bn:00048053n	03594277n
bn:00048054n	11202833n
bn:00048055n	10220228n
bn:00048056n	05275905n
bn:00048057n	07599161n
bn:00048058n	06305385n
bn:00048059n	02611561n
bn:00048060n	03594523n
bn:00048061n	11081111n
bn:00048062n	01580077n
bn:00048063n	08027314n
bn:00048064n	10220360n
bn:00048065n	07062697n
bn:00048066n	07060976n
bn:00048067n	15255439n
bn:00048068n	00518039n
bn:00048069n	10220486n
bn:00048070n	03601442n
bn:00048071n	03595179n
bn:00048072n	05706076n
bn:00048073n	11184694n
bn:00048074n	11088969n
bn:00048075n	11272689n
bn:00048076n	11282286n
bn:00048077n	11252915n
bn:00048078n	11376939n
bn:00048079n	11251788n
bn:00048080n	11114637n
bn:00048081n	11180357n
bn:00048082n	11114423n
bn:00048083n	11185680n
bn:00048084n	11155577n
bn:00048085n	11234292n
bn:00048086n	11299367n
bn:00048087n	11241655n
bn:00048088n	11081353n
bn:00048089n	11253802n
bn:00048090n	08994834n
bn:00048091n	03594945n
bn:00048092n	06716234n
bn:00048093n	11081673n
bn:00048094n	11081828n
bn:00048095n	10220807n
bn:00048096n	00996513n
bn:00048097n	10248377n
bn:00048098n	08091575n
bn:00048099n	05206573n
bn:00048100n	04791453n
bn:00048101n	14348070n
bn:00048102n	14348176n
bn:00048103n	00681441n
bn:00048104n	05535247n
bn:00048105n	10220924n
bn:00048106n	07613815n
bn:00048107n	03595055n
bn:00048108n	07643306n
bn:00048109n	14925198n
bn:00048110n	07606669n
bn:00048111n	13060190n
bn:00048112n	01913166n
bn:00048113n	01910747n
bn:00048114n	12186554n
bn:00048115n	07632357n
bn:00048116n	03599351n
bn:00048117n	02390015n
bn:00048118n	11082353n
bn:00048119n	11132768n
bn:00048120n	01584225n
bn:00048121n	11083527n
bn:00048122n	11082535n
bn:00048123n	02351870n
bn:00048124n	01880813n
bn:00048125n	02334460n
bn:00048126n	07211374n
bn:00048127n	11082842n
bn:00048128n	09026204n
bn:00048129n	08927836n
bn:00048130n	00335988n
bn:00048131n	15279480n
bn:00048132n	07664770n
bn:00048133n	00626423n
bn:00048134n	00115500n
bn:00048135n	10717196n
bn:00048136n	10802147n
bn:00048137n	03595264n
bn:00048138n	11082652n
bn:00048139n	11102353n
bn:00048140n	11263803n
bn:00048141n	10221162n
bn:00048142n	01105038n
bn:00048143n	11131358n
bn:00048144n	03595614n
bn:00048145n	03595523n
bn:00048146n	02406749n
bn:00048147n	09113479n
bn:00048148n	11941178n
bn:00048149n	11616852n
bn:00048150n	11979964n
bn:00048151n	07719058n
bn:00048152n	12896862n
bn:00048153n	02229156n
bn:00048154n	03595737n
bn:00048155n	12861541n
bn:00048156n	08027920n
bn:00048157n	11183211n
bn:00048158n	11330504n
bn:00048159n	11209428n
bn:00048160n	00431005n
bn:00048161n	10221520n
bn:00048162n	08149473n
bn:00048163n	06185138n
bn:00048164n	12348518n
bn:00048165n	03595860n
bn:00048166n	07436100n
bn:00048167n	14925378n
bn:00048168n	03596099n
bn:00048169n	03596285n
bn:00048170n	14017033n
bn:00048171n	11470008n
bn:00048172n	08251756n
bn:00048173n	11470139n
bn:00048174n	15220149n
bn:00048175n	03596543n
bn:00048176n	03596639n
bn:00048177n	06776679n
bn:00048178n	10247358n
bn:00048179n	11084200n
bn:00048180n	03597916n
bn:00048181n	12928491n
bn:00048182n	12045157n
bn:00048183n	03597317n
bn:00048184n	10221956n
bn:00048185n	10221777n
bn:00048186n	03597147n
bn:00048187n	03692522n
bn:00048188n	03597469n
bn:00048189n	08063836n
bn:00048190n	11863877n
bn:00048191n	09681973n
bn:00048192n	02596067n
bn:00048193n	02570164n
bn:00048194n	15214068n
bn:00048195n	15184755n
bn:00048196n	15182805n
bn:00048197n	08094659n
bn:00048198n	07686021n
bn:00048199n	11084409n
bn:00048200n	08479095n
bn:00048201n	11084514n
bn:00048202n	10222170n
bn:00048203n	13710101n
bn:00048204n	03598151n
bn:00048205n	03598299n
bn:00048206n	03598515n
bn:00048207n	03598385n
bn:00048208n	00538991n
bn:00048209n	04206225n
bn:00048210n	03598646n
bn:00048211n	00347359n
bn:00048212n	04121728n
bn:00048213n	03598930n
bn:00048214n	09683180n
bn:00048215n	10222259n
bn:00048216n	03599111n
bn:00048217n	11084789n
bn:00048218n	07604182n
bn:00048219n	09043802n
bn:00048220n	11085113n
bn:00048221n	03599486n
bn:00048222n	10224446n
bn:00048223n	12694336n
bn:00048224n	02344175n
bn:00048225n	08321956n
bn:00048226n	07431502n
bn:00048227n	07345960n
bn:00048228n	00532441n
bn:00048229n	07525760n
bn:00048230n	00825951n
bn:00048231n	07066042n
bn:00048232n	05713101n
bn:00048233n	10227490n
bn:00048234n	11085267n
bn:00048235n	11181835n
bn:00048236n	08855609n
bn:00048237n	03599628n
bn:00048238n	03599761n
bn:00048239n	00584769n
bn:00048240n	00576877n
bn:00048241n	00576717n
bn:00048242n	14410605n
bn:00048243n	11085402n
bn:00048244n	10222949n
bn:00048245n	06572482n
bn:00048246n	10223069n
bn:00048247n	11689367n
bn:00048248n	06900005n
bn:00048249n	03600169n
bn:00048250n	01242164n
bn:00048251n	06512857n
bn:00048252n	10222716n
bn:00048253n	06576153n
bn:00048254n	06724942n
bn:00048255n	08007430n
bn:00048256n	10222497n
bn:00048257n	04875468n
bn:00048258n	03599964n
bn:00048259n	10222822n
bn:00048260n	09596733n
bn:00048261n	10223177n
bn:00048262n	10223294n
bn:00048263n	08230009n
bn:00048264n	06781151n
bn:00048265n	12766043n
bn:00048266n	07529683n
bn:00048267n	03600475n
bn:00048268n	03600285n
bn:00048269n	10223744n
bn:00048270n	11141709n
bn:00048271n	11085559n
bn:00048272n	11085633n
bn:00048273n	11085813n
bn:00048274n	13887211n
bn:00048275n	00294190n
bn:00048276n	00112997n
bn:00048277n	00287449n
bn:00048278n	10223459n
bn:00048279n	00628390n
bn:00048280n	11101986n
bn:00048281n	11284409n
bn:00048282n	11392539n
bn:00048283n	11355428n
bn:00048284n	11195619n
bn:00048285n	11321428n
bn:00048286n	11321296n
bn:00048287n	11359412n
bn:00048288n	11195771n
bn:00048289n	09000665n
bn:00048290n	11086279n
bn:00048291n	11085924n
bn:00048292n	10779995n
bn:00048293n	11327544n
bn:00048294n	11268118n
bn:00048295n	11169764n
bn:00048296n	11370201n
bn:00048297n	11376400n
bn:00048298n	09703485n
bn:00048299n	11086774n
bn:00048300n	11245590n
bn:00048301n	11267113n
bn:00048302n	10223606n
bn:00048303n	01453087n
bn:00048304n	11162793n
bn:00048305n	11314792n
bn:00048306n	11385277n
bn:00048307n	11310081n
bn:00048308n	11360175n
bn:00048309n	09591450n
bn:00048310n	11212988n
bn:00048311n	11209990n
bn:00048312n	11356392n
bn:00048313n	11217668n
bn:00048314n	11148259n
bn:00048315n	11168974n
bn:00048316n	11098601n
bn:00048317n	11098707n
bn:00048318n	11108195n
bn:00048319n	11130661n
bn:00048320n	11126783n
bn:00048321n	11136798n
bn:00048322n	11145730n
bn:00048323n	11150634n
bn:00048324n	11157954n
bn:00048325n	11158754n
bn:00048326n	11159318n
bn:00048327n	11103397n
bn:00048328n	11168513n
bn:00048329n	11175445n
bn:00048330n	11179287n
bn:00048331n	11181073n
bn:00048332n	11182098n
bn:00048333n	11194910n
bn:00048334n	11200090n
bn:00048335n	11087767n
bn:00048336n	11090378n
bn:00048337n	11308988n
bn:00048338n	11256494n
bn:00048339n	11266920n
bn:00048340n	11271349n
bn:00048341n	11274714n
bn:00048342n	11276676n
bn:00048343n	11288528n
bn:00048344n	11281837n
bn:00048345n	11087359n
bn:00048346n	11347674n
bn:00048347n	11350393n
bn:00048348n	11350286n
bn:00048349n	11391759n
bn:00048350n	11354145n
bn:00048351n	11354743n
bn:00048352n	11358598n
bn:00048353n	11362452n
bn:00048354n	11369035n
bn:00048355n	11371254n
bn:00048356n	11373379n
bn:00048357n	11379336n
bn:00048358n	11381824n
bn:00048359n	11399866n
bn:00048360n	11387179n
bn:00048361n	11255211n
bn:00048362n	11393546n
bn:00048363n	07689003n
bn:00048364n	03600617n
bn:00048365n	11088346n
bn:00048366n	09140882n
bn:00048367n	07491895n
bn:00048368n	07998712n
bn:00048369n	10223994n
bn:00048370n	10223869n
bn:00048371n	03600722n
bn:00048372n	03601335n
bn:00048373n	07580782n
bn:00048374n	03600977n
bn:00048375n	03600806n
bn:00048376n	08383417n
bn:00048377n	08128159n
bn:00048378n	04333869n
bn:00048379n	05093181n
bn:00048380n	06512324n
bn:00048381n	06549566n
bn:00048382n	00785596n
bn:00048383n	11894558n
bn:00048384n	11744011n
bn:00048385n	03601638n
bn:00048386n	13264342n
bn:00048387n	02217839n
bn:00048388n	03601840n
bn:00048389n	05173443n
bn:00048390n	10224098n
bn:00048391n	10224295n
bn:00048392n	06394051n
bn:00048393n	03601964n
bn:00048394n	11089484n
bn:00048395n	07551890n
bn:00048396n	07450343n
bn:00048397n	03602081n
bn:00048398n	15217787n
bn:00048399n	15217911n
bn:00048400n	11101700n
bn:00048401n	11089868n
bn:00048402n	11279109n
bn:00048403n	07740855n
bn:00048404n	11350514n
bn:00048405n	11090884n
bn:00048406n	12886402n
bn:00048407n	09060176n
bn:00048408n	12421917n
bn:00048409n	12422129n
bn:00048410n	03603199n
bn:00048411n	11091374n
bn:00048412n	09321901n
bn:00048413n	12646072n
bn:00048414n	07750736n
bn:00048415n	13868371n
bn:00048416n	09718811n
bn:00048417n	13669479n
bn:00048418n	11360895n
bn:00048419n	03602194n
bn:00048420n	11216922n
bn:00048421n	11159418n
bn:00048422n	11217312n
bn:00048423n	11187930n
bn:00048424n	11369251n
bn:00048425n	11091863n
bn:00048426n	11091706n
bn:00048427n	11287570n
bn:00048428n	11397488n
bn:00048429n	11340146n
bn:00048430n	11314315n
bn:00048431n	11352883n
bn:00048432n	11167595n
bn:00048433n	11214153n
bn:00048434n	11227499n
bn:00048435n	11246542n
bn:00048436n	11248426n
bn:00048437n	11105778n
bn:00048438n	11305611n
bn:00048439n	11318462n
bn:00048440n	11092541n
bn:00048441n	12482893n
bn:00048442n	11250833n
bn:00048443n	11311817n
bn:00048444n	11379436n
bn:00048445n	11343625n
bn:00048446n	03602267n
bn:00048447n	03602365n
bn:00048448n	14925526n
bn:00048449n	00114095n
bn:00048450n	06505799n
bn:00048451n	06415688n
bn:00048452n	09581526n
bn:00048453n	06597466n
bn:00048454n	03602562n
bn:00048455n	03602465n
bn:00048456n	03602686n
bn:00048457n	03602790n
bn:00048458n	07071250n
bn:00048459n	06266417n
bn:00048460n	00611674n
bn:00048461n	10224578n
bn:00048462n	05180135n
bn:00048463n	00306426n
bn:00048464n	10771392n
bn:00048465n	07472460n
bn:00048466n	09573966n
bn:00048467n	05602982n
bn:00048468n	07527352n
bn:00048469n	11210963n
bn:00048470n	07537376n
bn:00048471n	00309368n
bn:00048472n	03602883n
bn:00048473n	11093325n
bn:00048474n	11230021n
bn:00048475n	11242077n
bn:00048476n	15250312n
bn:00048477n	08799123n
bn:00048478n	08799271n
bn:00048479n	11093469n
bn:00048480n	07977237n
bn:00048481n	06232880n
bn:00048482n	11094055n
bn:00048483n	11093674n
bn:00048484n	10225118n
bn:00048485n	03603119n
bn:00048486n	11093848n
bn:00048487n	06967282n
bn:00048488n	10225219n
bn:00048489n	10225931n
bn:00048490n	10225787n
bn:00048491n	10226060n
bn:00048492n	06551784n
bn:00048493n	05837957n
bn:00048494n	05789432n
bn:00048495n	04892084n
bn:00048496n	01187810n
bn:00048497n	01189650n
bn:00048498n	01189929n
bn:00048499n	01190364n
bn:00048500n	01190561n
bn:00048501n	00593944n
bn:00048502n	13401746n
bn:00048503n	08166318n
bn:00048504n	07216761n
bn:00048505n	08356903n
bn:00048506n	05956651n
bn:00048507n	01186810n
bn:00048508n	01197658n
bn:00048509n	06541381n
bn:00048510n	00422834n
bn:00048511n	06552984n
bn:00048512n	05615373n
bn:00048513n	04890361n
bn:00048514n	10226219n
bn:00048515n	00825773n
bn:00048516n	03603722n
bn:00048517n	13767956n
bn:00048518n	08249608n
bn:00048519n	07896560n
bn:00048520n	05233420n
bn:00048521n	10226556n
bn:00048522n	03603878n
bn:00048523n	00338994n
bn:00048524n	00099799n
bn:00048525n	10226413n
bn:00048526n	00754118n
bn:00048527n	00562179n
bn:00048528n	12317763n
bn:00048529n	09750891n
bn:00048530n	05370918n
bn:00048531n	05042573n
bn:00048532n	07923748n
bn:00048533n	14050434n
bn:00048534n	11470348n
bn:00048535n	05398609n
bn:00048536n	04059516n
bn:00048537n	04996215n
bn:00048538n	05967894n
bn:00048539n	07606058n
bn:00048540n	03604156n
bn:00048541n	07915491n
bn:00048542n	11163709n
bn:00048543n	11363412n
bn:00048544n	11305851n
bn:00048545n	15174885n
bn:00048546n	07708124n
bn:00048547n	07585997n
bn:00048548n	15212167n
bn:00048549n	07633861n
bn:00048550n	12554029n
bn:00048551n	01119850n
bn:00048552n	03604311n
bn:00048553n	07414222n
bn:00048554n	07358985n
bn:00048555n	06618427n
bn:00048556n	00867357n
bn:00048557n	00303849n
bn:00048558n	00119568n
bn:00048559n	01265921n
bn:00048560n	00241245n
bn:00048561n	06618549n
bn:00048562n	03605233n
bn:00048563n	00485632n
bn:00048564n	03605417n
bn:00048565n	00111503n
bn:00048566n	03605598n
bn:00048567n	03605504n
bn:00048568n	10226993n
bn:00048569n	10226803n
bn:00048570n	04370048n
bn:00048571n	03604763n
bn:00048572n	03604629n
bn:00048573n	03604536n
bn:00048574n	03604400n
bn:00048575n	00440218n
bn:00048576n	08508834n
bn:00048577n	00236194n
bn:00048578n	12928819n
bn:00048579n	02271222n
bn:00048580n	14831812n
bn:00048581n	03605073n
bn:00048582n	02350989n
bn:00048583n	02256172n
bn:00048584n	00120647n
bn:00048585n	01534433n
bn:00048586n	03605722n
bn:00048587n	07416714n
bn:00048588n	11744108n
bn:00048589n	11744355n
bn:00048590n	11744471n
bn:00048591n	08028148n
bn:00048592n	15211806n
bn:00048593n	15222012n
bn:00048594n	15222369n
bn:00048595n	15222202n
bn:00048596n	15193776n
bn:00048597n	02172870n
bn:00048598n	12131767n
bn:00048599n	12623524n
bn:00048600n	07745661n
bn:00048601n	12758250n
bn:00048602n	11542920n
bn:00048603n	10227166n
bn:00048604n	06057435n
bn:00048605n	08509111n
bn:00048606n	08439022n
bn:00048607n	01791314n
bn:00048608n	14073795n
bn:00048609n	03603442n
bn:00048610n	01791388n
bn:00048611n	14227806n
bn:00048612n	01330696n
bn:00048613n	10784281n
bn:00048614n	10227393n
bn:00048615n	10227266n
bn:00048616n	08239488n
bn:00048617n	08282364n
bn:00048618n	10227601n
bn:00048619n	08409835n
bn:00048620n	10227698n
bn:00048621n	10227793n
bn:00048622n	08277612n
bn:00048623n	13952386n
bn:00048624n	08080510n
bn:00048625n	10227889n
bn:00048626n	11636566n
bn:00048627n	07827130n
bn:00048628n	11636835n
bn:00048629n	14614744n
bn:00048630n	11293470n
bn:00048631n	11637810n
bn:00048632n	03603594n
bn:00048633n	14831338n
bn:00048634n	06280347n
bn:00048635n	07702509n
bn:00048636n	06276141n
bn:00048637n	03606251n
bn:00048638n	09748770n
bn:00048639n	07611733n
bn:00048640n	00308681n
bn:00048641n	00312160n
bn:00048642n	08586978n
bn:00048643n	09563805n
bn:00048644n	08241964n
bn:00048645n	12595452n
bn:00048646n	09322454n
bn:00048647n	09574657n
bn:00048648n	09574226n
bn:00048649n	09574446n
bn:00048650n	09574350n
bn:00048651n	15126595n
bn:00048652n	05198427n
bn:00048653n	08590369n
bn:00048654n	06161718n
bn:00048655n	08441203n
bn:00048656n	10227985n
bn:00048657n	10228278n
bn:00048658n	08414119n
bn:00048659n	08414807n
bn:00048660n	03606347n
bn:00048661n	01131135n
bn:00048662n	03606465n
bn:00048663n	05903738n
bn:00048664n	05956906n
bn:00048665n	05957078n
bn:00048666n	07294907n
bn:00048667n	04716703n
bn:00048668n	04850117n
bn:00048669n	00694681n
bn:00048670n	10228468n
bn:00048671n	10228592n
bn:00048672n	08587086n
bn:00048673n	05823054n
bn:00048674n	06740183n
bn:00048675n	01241767n
bn:00048676n	11095123n
bn:00048677n	04713853n
bn:00048678n	00407090n
bn:00048679n	14925645n
bn:00048680n	09703181n
bn:00048681n	06949946n
bn:00048682n	08761039n
bn:00048683n	13504403n
bn:00048684n	09622049n
bn:00048685n	14169128n
bn:00048686n	05219297n
bn:00048687n	08333868n
bn:00048688n	14188030n
bn:00048689n	04696969n
bn:00048690n	04928585n
bn:00048691n	08624095n
bn:00048692n	13714756n
bn:00048693n	13627681n
bn:00048694n	13627516n
bn:00048695n	06832248n
bn:00048696n	14861042n
bn:00048697n	09323660n
bn:00048698n	11470492n
bn:00048699n	07566092n
bn:00048700n	09526606n
bn:00048701n	07869775n
bn:00048702n	08028397n
bn:00048703n	06933022n
bn:00048704n	10228712n
bn:00048705n	09666883n
bn:00048706n	03607029n
bn:00048707n	06934132n
bn:00048708n	03607186n
bn:00048709n	09689631n
bn:00048710n	06972756n
bn:00048711n	07910970n
bn:00048712n	11095907n
bn:00048713n	09079747n
bn:00048714n	07762373n
bn:00048715n	14678952n
bn:00048716n	10229338n
bn:00048717n	11386853n
bn:00048718n	07691954n
bn:00048719n	01819465n
bn:00048720n	03607358n
bn:00048721n	14199389n
bn:00048722n	14178077n
bn:00048723n	09170294n
bn:00048724n	09101233n
bn:00048725n	03607527n
bn:00048726n	06925103n
bn:00048727n	03607659n
bn:00048728n	06194894n
bn:00048729n	05931827n
bn:00048730n	03607756n
bn:00048731n	14270016n
bn:00048732n	09526703n
bn:00048733n	11096033n
bn:00048734n	14270127n
bn:00048735n	09737835n
bn:00048736n	06929008n
bn:00048737n	09530629n
bn:00048738n	14075838n
bn:00048739n	12237486n
bn:00048740n	12238073n
bn:00048741n	10229034n
bn:00048742n	09005153n
bn:00048743n	06934309n
bn:00048744n	06935417n
bn:00048745n	09526808n
bn:00048746n	06931891n
bn:00048747n	06623788n
bn:00048748n	06993348n
bn:00048749n	09021958n
bn:00048750n	03607923n
bn:00048751n	11096192n
bn:00048752n	09322930n
bn:00048753n	09535255n
bn:00048754n	09658398n
bn:00048755n	06922875n
bn:00048756n	03608074n
bn:00048757n	10229193n
bn:00048758n	03608224n
bn:00048759n	03608356n
bn:00048760n	08735008n
bn:00048761n	06979957n
bn:00048762n	09323085n
bn:00048763n	09323221n
bn:00048764n	02436224n
bn:00048765n	08704409n
bn:00048766n	11096338n
bn:00048767n	08719705n
bn:00048768n	01877134n
bn:00048769n	12893794n
bn:00048770n	01882714n
bn:00048771n	08333995n
bn:00048772n	02334728n
bn:00048773n	01880152n
bn:00048774n	09658543n
bn:00048775n	06910323n
bn:00048776n	09743192n
bn:00048777n	09087599n
bn:00048778n	09323470n
bn:00048779n	09107098n
bn:00048780n	09088396n
bn:00048781n	03608504n
bn:00048782n	12138248n
bn:00048783n	14679147n
bn:00048784n	03608661n
bn:00048785n	13700142n
bn:00048786n	06837787n
bn:00048787n	14925776n
bn:00048788n	14240775n
bn:00048789n	06835098n
bn:00048790n	09170475n
bn:00048791n	09324118n
bn:00048792n	08977211n
bn:00048793n	08094386n
bn:00048794n	09735913n
bn:00048795n	06927851n
bn:00048796n	09323824n
bn:00048797n	01255302n
bn:00048798n	00826397n
bn:00048799n	14901793n
bn:00048800n	08914573n
bn:00048801n	08779830n
bn:00048802n	09324322n
bn:00048803n	06932130n
bn:00048804n	11363552n
bn:00048805n	11195913n
bn:00048806n	11174563n
bn:00048807n	11116117n
bn:00048808n	11160457n
bn:00048809n	11242849n
bn:00048810n	11273679n
bn:00048811n	11283843n
bn:00048812n	11406906n
bn:00048813n	11381684n
bn:00048814n	11299890n
bn:00048815n	07330362n
bn:00048816n	08902196n
bn:00048817n	09658670n
bn:00048818n	06921506n
bn:00048819n	11097208n
bn:00048820n	15220743n
bn:00048821n	09527001n
bn:00048822n	13504739n
bn:00048823n	05398871n
bn:00048824n	13504947n
bn:00048825n	05434784n
bn:00048826n	05444876n
bn:00048827n	09324474n
bn:00048828n	07704579n
bn:00048829n	08383185n
bn:00048830n	09676021n
bn:00048831n	06972874n
bn:00048832n	11394848n
bn:00048833n	13505069n
bn:00048834n	08986905n
bn:00048835n	08986691n
bn:00048836n	09728137n
bn:00048837n	11306008n
bn:00048838n	06976959n
bn:00048839n	13124529n
bn:00048840n	03609147n
bn:00048841n	11243424n
bn:00048842n	11154489n
bn:00048843n	08606370n
bn:00048844n	08984010n
bn:00048845n	08974468n
bn:00048846n	09324859n
bn:00048847n	02228341n
bn:00048848n	09079875n
bn:00048849n	09014470n
bn:00048850n	11097820n
bn:00048851n	14895599n
bn:00048852n	11647548n
bn:00048853n	07886317n
bn:00048854n	03886237n
bn:00048855n	11639306n
bn:00048856n	14076270n
bn:00048857n	03609235n
bn:00048858n	00134099n
bn:00048859n	14266677n
bn:00048860n	09736035n
bn:00048861n	09019726n
bn:00048862n	06927128n
bn:00048863n	09736181n
bn:00048864n	13700870n
bn:00048865n	09008333n
bn:00048866n	11151436n
bn:00048867n	03609397n
bn:00048868n	13627810n
bn:00048869n	09327705n
bn:00048870n	15279596n
bn:00048871n	01818832n
bn:00048872n	09726970n
bn:00048873n	08489121n
bn:00048874n	06917083n
bn:00048875n	07869937n
bn:00048876n	13919919n
bn:00048877n	05228374n
bn:00048878n	03609542n
bn:00048879n	03842754n
bn:00048880n	03609786n
bn:00048881n	03609959n
bn:00048882n	07042735n
bn:00048883n	04705324n
bn:00048884n	10229498n
bn:00048885n	01205010n
bn:00048886n	03610270n
bn:00048887n	02112350n
bn:00048888n	13768064n
bn:00048889n	03610418n
bn:00048890n	00628539n
bn:00048891n	11196934n
bn:00048892n	09658815n
bn:00048893n	06925743n
bn:00048894n	11099438n
bn:00048895n	01403457n
bn:00048896n	09543924n
bn:00048897n	02105412n
bn:00048898n	14497120n
bn:00048899n	04007510n
bn:00048900n	05623818n
bn:00048901n	11102674n
bn:00048902n	08606502n
bn:00048903n	14988961n
bn:00048904n	06035213n
bn:00048905n	06034870n
bn:00048906n	06034611n
bn:00048907n	11100619n
bn:00048908n	12537253n
bn:00048909n	09124399n
bn:00048910n	01282711n
bn:00048911n	11264343n
bn:00048912n	09153873n
bn:00048913n	07106651n
bn:00048914n	08882934n
bn:00048915n	11101576n
bn:00048916n	06949326n
bn:00048917n	02564935n
bn:00048918n	07462119n
bn:00048919n	07728284n
bn:00048920n	08928193n
bn:00048921n	09719309n
bn:00048922n	13706521n
bn:00048923n	13706628n
bn:00048924n	11330963n
bn:00048925n	05912243n
bn:00048926n	11101843n
bn:00048927n	03610682n
bn:00048928n	05879693n
bn:00048929n	05879441n
bn:00048930n	05879856n
bn:00048931n	06985490n
bn:00048932n	14328513n
bn:00048933n	14104118n
